280 78120
0 1 20.000000
0 2 24.083189
0 3 32.984845
0 4 32.984845
0 5 42.755117
0 6 55.713553
0 7 63.245553
0 8 61.188234
0 9 70.880181
0 10 78.587531
0 11 86.348133
0 12 94.148818
0 13 101.980390
0 14 92.779308
0 15 100.079968
0 16 116.068945
0 17 124.064499
0 18 132.060592
0 19 140.057131
0 20 148.054044
0 21 141.421356
0 22 125.602548
0 23 117.711512
0 24 133.506554
0 25 149.345238
0 26 157.276826
0 27 165.215011
0 28 172.418096
0 29 184.043473
0 30 184.390889
0 31 185.083765
0 32 198.645413
0 33 208.153789
0 34 224.142812
0 35 224.570702
0 36 232.860473
0 37 232.310138
0 38 232.034480
0 39 232.034480
0 40 232.310138
0 41 232.860473
0 42 233.683547
0 43 249.575640
0 44 248.805145
0 45 248.290153
0 46 248.032256
0 47 248.032256
0 48 248.290153
0 49 248.805145
0 50 256.780062
0 51 256.281096
0 52 256.031248
0 53 256.031248
0 54 256.281096
0 55 256.780062
0 56 257.526698
0 57 258.518858
0 58 250.599282
0 59 234.776489
0 60 236.135554
0 61 245.153013
0 62 252.990118
0 63 261.227870
0 64 262.937255
0 65 270.732340
0 66 276.925983
0 67 274.925444
0 68 282.842712
0 69 284.787640
0 70 286.356421
0 71 288.138855
0 72 290.131005
0 73 292.328582
0 74 294.726992
0 75 287.137598
0 76 297.321375
0 77 300.106648
0 78 283.746366
0 79 277.848880
0 80 274.838134
0 81 272.029410
0 82 269.429026
0 83 267.043068
0 84 264.877330
0 85 256.632032
0 86 259.383885
0 87 262.488095
0 88 266.660833
0 89 266.030073
0 90 269.317656
0 91 272.800293
0 92 284.450347
0 93 291.671048
0 94 298.931430
0 95 302.337560
0 96 295.160973
0 97 288.027776
0 98 280.321244
0 99 270.968633
0 100 266.923210
0 101 263.058929
0 102 259.383885
0 103 255.906233
0 104 248.676497
0 105 241.495342
0 106 238.025209
0 107 252.634123
0 108 259.237343
0 109 249.575640
0 110 246.738728
0 111 254.943131
0 112 251.745904
0 113 244.131112
0 114 241.760212
0 115 248.909622
0 116 239.633053
0 117 237.756178
0 118 191.206694
0 119 189.187737
0 120 187.488666
0 121 186.118242
0 122 185.083765
0 123 184.390889
0 124 184.043473
0 125 172.046505
0 126 164.048773
0 127 156.051274
0 128 156.460858
0 129 148.485690
0 130 140.513345
0 131 132.544332
0 132 124.579292
0 133 118.456743
0 134 120.332872
0 135 122.702893
0 136 125.538839
0 137 128.809938
0 138 132.483961
0 139 125.538839
0 140 129.799846
0 141 134.402381
0 142 139.312598
0 143 144.499135
0 144 150.572242
0 145 145.602198
0 146 140.911320
0 147 136.528385
0 148 141.421356
0 149 153.935051
0 150 176.045449
0 151 173.297432
0 152 168.807583
0 153 165.746795
0 154 167.092789
0 155 170.880075
0 156 193.535526
0 157 196.163197
0 158 199.077874
0 159 202.267150
0 160 209.418242
0 161 213.354166
0 162 217.513218
0 163 221.882852
0 164 226.450878
0 165 240.865107
0 166 250.726943
0 167 257.402409
0 168 257.992248
0 169 249.062241
0 170 242.156974
0 171 242.156974
0 172 234.367233
0 173 223.606798
0 174 205.718254
0 175 182.471916
0 176 179.108905
0 177 170.176379
0 178 170.176379
0 179 179.108905
0 180 186.118242
0 181 190.031576
0 182 194.195778
0 183 198.595065
0 184 203.214173
0 185 201.791972
0 186 208.038458
0 187 218.686991
0 188 212.602916
0 189 206.649462
0 190 197.989899
0 191 188.350737
0 192 181.107703
0 193 172.742583
0 194 167.475371
0 195 161.443489
0 196 166.901168
0 197 161.245155
0 198 155.794737
0 199 149.933319
0 200 155.589203
0 201 147.186956
0 202 135.882302
0 203 124.579292
0 204 113.278418
0 205 101.980390
0 206 100.000000
0 207 93.722996
0 208 88.814413
0 209 95.414884
0 210 102.215459
0 211 106.508216
0 212 113.207774
0 213 109.178753
0 214 116.275535
0 215 120.066648
0 216 127.059041
0 217 123.482792
0 218 130.782262
0 219 134.164079
0 220 141.364776
0 221 138.159328
0 222 132.966161
0 223 123.223374
0 224 115.446958
0 225 107.703296
0 226 100.000000
0 227 92.347171
0 228 84.758480
0 229 77.252832
0 230 72.993150
0 231 80.894994
0 232 88.814413
0 233 96.747093
0 234 96.083297
0 235 88.090862
0 236 80.099938
0 237 72.111026
0 238 64.124878
0 239 56.142675
0 240 48.166378
0 241 40.000000
0 242 40.792156
0 243 49.477268
0 244 57.271284
0 245 65.115282
0 246 55.713553
0 247 48.826222
0 248 60.000000
0 249 62.609903
0 250 69.856997
0 251 82.462113
0 252 87.726849
0 253 82.073138
0 254 76.419893
0 255 70.767224
0 256 76.837491
0 257 72.111026
0 258 68.000000
0 259 64.621978
0 260 72.111026
0 261 82.462113
0 262 93.037627
0 263 103.768974
0 264 114.612390
0 265 121.655251
0 266 118.186294
0 267 115.169440
0 268 112.641023
0 269 110.634533
0 270 92.086915
0 271 84.095184
0 272 76.105190
0 273 68.117545
0 274 60.133186
0 275 52.153619
0 276 42.755117
0 277 43.266615
0 278 34.409301
0 279 17.888544
