130 16770
0 1 119.096460
0 2 169.646339
0 3 248.296385
0 4 161.415514
0 5 507.813202
0 6 295.591236
0 7 199.721421
0 8 543.899144
0 9 430.459685
0 10 164.897956
0 11 382.812888
0 12 409.242566
0 13 424.763556
0 14 272.594991
0 15 87.830507
0 16 155.955376
0 17 187.435443
0 18 225.609957
0 19 200.943803
0 20 249.181459
0 21 301.272321
0 22 331.159140
0 23 284.805804
0 24 354.110982
0 25 243.886958
0 26 201.610699
0 27 220.965657
0 28 304.450677
0 29 242.062304
0 30 175.511923
0 31 404.190757
0 32 265.428357
0 33 149.137253
0 34 197.829332
0 35 417.009418
0 36 299.543825
0 37 330.656842
0 38 65.271296
0 39 319.412426
0 40 37.488990
0 41 325.194625
0 42 206.729574
0 43 313.144257
0 44 97.814824
0 45 180.538288
0 46 318.551595
0 47 348.396601
0 48 393.971307
0 49 104.816733
0 50 368.674912
0 51 527.766933
0 52 376.286149
0 53 174.488426
0 54 388.385307
0 55 505.186796
0 56 537.256140
0 57 388.128325
0 58 270.085863
0 59 381.666942
0 60 168.403273
0 61 135.758003
0 62 271.284145
0 63 281.837131
0 64 475.305325
0 65 388.902825
0 66 411.379713
0 67 299.956251
0 68 304.303305
0 69 241.737212
0 70 65.561079
0 71 452.107794
0 72 465.291167
0 73 504.332611
0 74 508.043728
0 75 127.423355
0 76 401.781972
0 77 355.264551
0 78 301.844276
0 79 169.660465
0 80 383.673650
0 81 553.164444
0 82 188.802890
0 83 419.198657
0 84 344.739569
0 85 355.503696
0 86 382.317922
0 87 307.742534
0 88 303.523985
0 89 319.664558
0 90 526.756142
0 91 403.334070
0 92 262.723943
0 93 342.264268
0 94 302.288060
0 95 400.758717
0 96 251.003923
0 97 321.061091
0 98 498.853192
0 99 226.935702
0 100 586.943347
0 101 523.239036
0 102 419.968514
0 103 173.506873
0 104 115.601486
0 105 327.339852
0 106 184.852837
0 107 197.405011
0 108 160.173788
0 109 297.338587
0 110 587.985407
0 111 121.338000
0 112 394.451541
0 113 197.132059
0 114 187.335938
0 115 274.142171
0 116 120.991474
0 117 174.733059
0 118 459.303075
0 119 391.372382
0 120 303.490300
0 121 380.125150
0 122 589.138803
0 123 202.887231
0 124 321.650909
0 125 235.093683
0 126 150.408998
0 127 89.760111
0 128 166.569335
0 129 81.642231
1 0 119.096460
1 2 139.191772
1 3 130.370465
1 4 274.630306
1 5 390.345133
1 6 365.447492
1 7 137.566892
1 8 467.845229
1 9 323.264945
1 10 282.241019
1 11 309.004112
1 12 313.076896
1 13 317.649986
1 14 230.133928
1 15 191.206579
1 16 112.545430
1 17 109.097550
1 18 198.161227
1 19 86.748475
1 20 157.486518
1 21 192.296845
1 22 224.107244
1 23 229.868711
1 24 374.874683
1 25 327.132432
1 26 170.033600
1 27 274.795827
1 28 259.453925
1 29 215.310241
1 30 132.924833
1 31 403.879248
1 32 172.645054
1 33 132.392984
1 34 80.991241
1 35 410.122094
1 36 189.152345
1 37 235.943036
1 38 105.992481
1 39 207.518308
1 40 114.123314
1 41 206.108976
1 42 223.047041
1 43 195.012857
1 44 213.193044
1 45 74.167104
1 46 207.069229
1 47 374.214134
1 48 280.130227
1 49 39.772949
1 50 249.605670
1 51 442.396206
1 52 259.596008
1 53 74.828099
1 54 272.318249
1 55 433.321007
1 56 464.577636
1 57 274.739595
1 58 242.443253
1 59 262.604209
1 60 285.569939
1 61 203.126525
1 62 308.931069
1 63 389.116033
1 64 401.658023
1 65 391.663014
1 66 310.081371
1 67 326.023752
1 68 410.953648
1 69 304.139104
1 70 92.013563
1 71 339.485653
1 72 372.235575
1 73 414.487943
1 74 419.367436
1 75 246.515620
1 76 359.178172
1 77 307.289043
1 78 228.244904
1 79 59.254075
1 80 321.059916
1 81 491.286935
1 82 179.292344
1 83 412.350743
1 84 342.084854
1 85 457.989926
1 86 308.645224
1 87 406.784868
1 88 286.469496
1 89 313.180356
1 90 412.795040
1 91 303.610751
1 92 149.027855
1 93 319.167917
1 94 236.270728
1 95 298.993613
1 96 323.063355
1 97 332.774066
1 98 402.566513
1 99 175.884514
1 100 538.930198
1 101 407.036193
1 102 365.246320
1 103 203.632593
1 104 184.738509
1 105 216.962371
1 106 228.454546
1 107 136.660260
1 108 279.029185
1 109 298.926228
1 110 547.711228
1 111 174.030427
1 112 392.090447
1 113 154.544481
1 114 230.503435
1 115 211.600408
1 116 146.235825
1 117 57.566206
1 118 442.571149
1 119 273.324982
1 120 245.799318
1 121 267.242770
1 122 547.587223
1 123 305.554133
1 124 318.048069
1 125 180.237299
1 126 205.098660
1 127 175.814088
1 128 270.553030
1 129 57.198376
2 0 169.646339
2 1 139.191772
2 3 220.063304
2 4 257.213757
2 5 408.556948
2 6 463.998648
2 7 48.627692
2 8 596.088158
2 9 300.707102
2 10 278.672051
2 11 441.290786
2 12 262.324430
2 13 295.224512
2 14 369.317687
2 15 177.276576
2 16 249.960818
2 17 68.015564
2 18 335.740035
2 19 140.722781
2 20 117.859921
2 21 190.809846
2 22 210.917307
2 23 368.480905
2 24 502.503454
2 25 413.526256
2 26 307.616655
2 27 169.923759
2 28 398.582204
2 29 78.322782
2 30 271.043152
2 31 538.732282
2 32 131.274629
2 33 264.754578
2 34 189.109420
2 35 546.531658
2 36 193.264370
2 37 357.701828
2 38 105.424888
2 39 213.932369
2 40 134.759465
2 41 262.988146
2 42 349.135992
2 43 237.659725
2 44 215.826474
2 45 114.464402
2 46 211.954204
2 47 499.714551
2 48 367.740353
2 49 103.397733
2 50 299.837047
2 51 564.906914
2 52 337.759436
2 53 208.056211
2 54 289.825230
2 55 564.235141
2 56 594.663742
2 57 364.142039
2 58 106.596377
2 59 311.114051
2 60 316.849923
2 61 135.511309
2 62 427.726354
2 63 442.458945
2 64 532.204205
2 65 252.577740
2 66 271.853718
2 67 450.690776
2 68 465.031382
2 69 407.732831
2 70 104.368767
2 71 426.976390
2 72 489.833184
2 73 533.915579
2 74 539.696635
2 75 264.279969
2 76 498.123023
2 77 186.008657
2 78 362.750498
2 79 121.063277
2 80 457.035056
2 81 625.581789
2 82 43.588933
2 83 548.767242
2 84 202.899959
2 85 518.805384
2 86 440.999089
2 87 473.741102
2 88 423.693815
2 89 173.998920
2 90 492.655355
2 91 416.548312
2 92 175.833221
2 93 457.537883
2 94 372.840408
2 95 262.750661
2 96 419.491028
2 97 463.201972
2 98 515.845242
2 99 315.073633
2 100 676.502788
2 101 415.968711
2 102 502.571380
2 103 322.836073
2 104 129.201411
2 105 318.830814
2 106 341.862650
2 107 45.841694
2 108 299.586805
2 109 432.029051
2 110 686.351981
2 111 106.124338
2 112 527.351688
2 113 28.781337
2 114 125.158782
2 115 349.395111
2 116 70.940520
2 117 141.274868
2 118 580.783852
2 119 341.815398
2 120 134.631392
2 121 269.762996
2 122 686.088954
2 123 368.866056
2 124 178.876659
2 125 68.289579
2 126 311.064357
2 127 146.435915
2 128 332.822457
2 129 105.868860
3 0 248.296385
